run_id,model_type,experiment_name,experiment_type,seed,width,depth,activation,n_features,features,epochs_pre,epochs_phys,w_data,w_cont,w_mom,wall_time_min,best_val,mae_uv_corrected,rmse_uv_corrected,l2_rel_uv_corrected,mae_p_corrected,rmse_p_corrected,l2_rel_p_corrected,mae_div_corrected,rmse_div_corrected,linf_div_corrected,rmse_div_error_vs_fine,improvement_mae_uv_pct,improvement_mae_p_pct,improvement_div_rmse_vs_coarse_pct,improvement_div_rmse_vs_fine_pct
pinn_cont_base_k_epsilon_20260727_214418,pinn,pinn_cont_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",1000.0,1000.0,1.0,0.0001,1e-05,12.391658001666656,0.9565158105522293,0.8359965085983276,1.475412368774414,0.03282501548528671,18.835859298706055,30.27062225341797,0.07567507028579712,2.343684663512095,4.180474142901028,321.86126962890626,6.691541678027113,86.10563112837886,93.40009404019656,-23.785997418644843,22.097958251205796
pinn_cont_base_k_epsilon_20260728_020327,pinn,pinn_cont_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",1000.0,1000.0,1.0,0.0001,1e-05,12.680705817550066,0.9565158105522293,0.8359965085983276,1.475412368774414,0.03282501548528671,18.835859298706055,30.27062225341797,0.07567507028579712,2.343684663512095,4.180474142901028,321.86126962890626,6.691541678027113,86.10563112837886,93.40009404019656,-23.785997418644843,22.097958251205796
pinn_cont_base_k_epsilon_20260728_041736,pinn,pinn_cont_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",1000.0,1000.0,1.0,5e-05,1e-05,12.485316993766673,0.7698714446244079,0.7546238899230957,1.3492103815078735,0.030017269775271416,17.58104705810547,28.05704116821289,0.07014123350381851,2.878993115198053,4.919714792521685,276.8061243652344,7.2144830888778735,87.45805445586272,93.83976831540963,-45.67529466524818,8.322402182536791
pinn_cont_base_k_epsilon_20260728_043931,pinn,pinn_cont_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",1000.0,1000.0,1.0,7.5e-05,1e-05,12.564304770383327,0.8538144098509848,0.7915072441101074,1.4109032154083252,0.031389813870191574,17.84577751159668,28.97327423095703,0.0724317654967308,2.546436905170052,4.339762456125806,188.2067949953125,6.847080015976013,86.84504839300699,93.74700928222562,-28.502606601157243,19.129662215215838
pinn_cont_base_k_epsilon_20260729_192724,pinn,pinn_cont_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",1000.0,1000.0,1.0,7.5e-05,1e-05,12.519714169683327,0.8538144098509848,0.7915072441101074,1.4109032154083252,0.031389813870191574,17.84577751159668,28.97327423095703,0.0724317654967308,2.546436905170052,4.339762456125806,188.2067949953125,6.847080015976013,86.84504839300699,93.74700928222562,-28.502606601157243,19.129662215215838
pinn_cont_base_k_epsilon_20260826_190205,pinn,pinn_cont_base,k_epsilon,42,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",1000.0,1000.0,1.0,7.5e-05,1e-05,12.693848316733344,0.8538144098509848,0.7915072441101074,1.4109032154083252,0.031389813870191574,17.84577751159668,28.97327423095703,0.0724317654967308,2.546436905170052,4.339762456125806,188.2067949953125,6.847080015976013,86.84504839300699,93.74700928222562,-28.502606601157243,19.129662215215838
pinn_cont_base_k_epsilon_20260728_172511,pinn,pinn_cont_base,k_epsilon,123,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",1000.0,1000.0,1.0,7.5e-05,1e-05,15.766358746400003,0.9238130797528114,0.7495691776275635,1.3852975368499756,0.030774258077144623,17.466230392456055,29.104076385498047,0.07291218638420105,2.2491640196384797,4.530931139683738,502.5717703496094,6.981384471385509,87.57003398321281,93.86555867851084,-34.16321000654185,15.567283820200217
pinn_cont_base_k_epsilon_20260728_181631,pinn,pinn_cont_base,k_epsilon,456,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",1000.0,1000.0,1.0,7.5e-05,1e-05,13.198717781683339,1.017931287397838,0.7394837141036987,1.36131751537323,0.030201196670532227,18.020687103271484,31.163835525512695,0.0786631777882576,2.438636113449519,4.551008527881741,238.29072401171874,7.065285751101389,87.58131890721307,93.65152981519186,-34.757711835448404,15.19314694477819
pinn_cont_base_k_epsilon_20260729_185506,pinn,pinn_cont_base,k_epsilon,456,64,4,tanh,6,"x, y, Ux, Uy, p, Re_norm",1000.0,1000.0,1.0,7.5e-05,1e-05,13.661824279083339,1.017931287397838,0.7394837141036987,1.36131751537323,0.030201196670532227,18.020687103271484,31.163835525512695,0.0786631777882576,2.438636113449519,4.551008527881741,238.29072401171874,7.065285751101389,87.58131890721307,93.65152981519186,-34.757711835448404,15.19314694477819
pinn_cont_mom_base_k_epsilon_20260826_003555,pinn,pinn_cont_mom_base,k_epsilon,42,64,4,tanh,7,"x, y, Ux, Uy, p, Re, nut_log",1000.0,1000.0,1.0,7.5e-05,5e-05,20.242668136116723,1.0850538801612322,0.8775237798690796,1.6008741855621338,0.03561629354953766,24.220603942871094,40.345584869384766,0.10086198896169662,2.6800353198788036,5.646775341547354,235.16556776809693,7.895749710809041,85.41544256977456,91.51333072850171,-67.20393284561372,-5.2261808987100755
