epoch,loss_total,loss_data,loss_cont,loss_mom,val_score,val_data,val_cont,val_mom,norm_data,norm_cont,norm_mom,lr
21,0.04082738314020006,0.01917636776833158,,2165.1015625,1.0842167946741001,0.020110072353074274,0.0,2250.0192284466957,1.4123409588716507,0.0,0.31859374487981623,0.001
22,0.040349696419740975,0.019129493224777673,,2122.0203407689146,1.0867602838758808,0.020192041646128846,0.0,2215.031580714798,1.418097705437161,0.0,0.313639633566227,0.001
23,0.03980493898454465,0.018891996066821248,,2091.2943564967104,1.0851785286868012,0.020198701037506376,0.0,2170.0882243251144,1.418565397996318,0.0,0.30727583363126265,0.001
24,0.039365880583461965,0.018912558149742454,,2045.3323139391448,1.0926922331904607,0.020373320069416983,0.0,2144.8802160514683,1.4308289844536868,0.0,0.30370648024293334,0.001
25,0.038991485967447885,0.018948434705012722,,2004.30517578125,1.072757396341492,0.02001079091383195,0.0,2095.1517066398096,1.4053683711735152,0.0,0.2966651217334379,0.001
26,0.038458714947888724,0.018701893130415363,,1975.6821803042762,1.0660662943235262,0.01990915027146418,0.0,2055.2657198019965,1.3982300953989837,0.0,0.2910174251474587,0.001
27,0.03827751035753049,0.01886592903419545,,1941.1581260279606,1.085377568770305,0.020327501456348686,0.0,2025.7111632433098,1.427611119158182,0.0,0.2868326178652585,0.001
28,0.038060387694521955,0.018854794729697078,,1920.5593839946546,1.078957726278056,0.02021860201046936,0.0,2000.6116626988658,1.4199630537950414,0.0,0.2832786287384243,0.001
29,0.03771420332946276,0.018814743447460626,,1889.946044921875,1.0627423294683553,0.01992131656628146,0.0,1962.935515541314,1.3990845406832406,0.0,0.2779438366336235,0.001
30,0.037742230649057185,0.01930059541605021,,1844.1635420949835,1.10683041923331,0.02083170701580098,0.0,1947.211194916788,1.4630217408010429,0.0,0.2757173355752671,0.001
31,0.037383886740395895,0.019082126648802506,,1830.1760639391448,1.0937658348879882,0.020593672124934678,0.0,1915.1372347485772,1.446304425213681,0.0,0.27117579079470505,0.001
32,0.03705884790734241,0.019025578506683048,,1803.326994243421,1.072238112351215,0.020192759269105,0.0,1872.3324028369339,1.4181481044762323,0.0,0.26511479739284155,0.001
33,0.03621584353478331,0.018548225983977318,,1766.7617894222863,1.0555635689745881,0.0198654317170106,0.0,1858.6156069327685,1.3951597183245812,0.0,0.2631725538246045,0.001
34,0.03672153051746519,0.019184042552584095,,1753.7488628186677,1.1297196596427173,0.021394843669099568,0.0,1834.3236461032254,1.5025711241613624,0.0,0.25973290909921226,0.001
35,0.0359056050840177,0.018665144219994545,,1724.0461104543585,1.0559926426061788,0.019928629396686805,0.0,1795.5768539348314,1.3995981246090177,0.0,0.2542465179328885,0.001
36,0.03576153457949036,0.018781610715546106,,1697.992431640625,1.0591097502195421,0.02000518911900074,0.0,1780.3534239296744,1.4049749541760819,0.0,0.2520909409876163,0.001
